date,transaction type,debit currency,debit value,credit currency,credit value,fee currency,fee value,trade currency pair,trade price currency,trade price,order id,address,transactionHash
2026-02-13 07:26:30 Z,Market Buy,ZAR,19.99987,USDT,1.2386495,USDT,0.0043505,USDTZAR,ZAR,16.09,019c55e4-e492-7f5d-9bbf-58f2cbf49a4a,,
2026-02-13 05:39:54 Z,Deposit,,,ZAR,100,,,,,,,,
2026-02-12 20:04:49 Z,Simple Buy,ZAR,24.99994504,USDT,1.5343512,USDT,0.0249488,USDTZAR,ZAR,16.0328,019c5374-ce24-7814-9252-b4a767211c8f,,
2026-02-12 17:16:24 Z,Deposit,,,ZAR,100,,,,,,,,
2026-02-10 11:14:17 Z,Withdraw,ZAR,15986.71,,,ZAR,30,,,,,,
2026-02-10 11:12:41 Z,Limit Sell,USDT,302.2767,ZAR,4846.338532579698,ZAR,8.739139810302,USDTZAR,ZAR,16.0617,019c473e-acdd-7536-bc00-7805b1ac616a,,
2026-02-10 11:12:02 Z,Limit Sell,USDT,342.4295,ZAR,5490.09990032973,ZAR,9.89999982027,USDTZAR,ZAR,16.0617,019c473e-acdd-7536-bc00-7805b1ac616a,,
2026-02-10 11:11:25 Z,Limit Sell,USDT,311.2995,ZAR,4990.99918062753,ZAR,8.99999852247,USDTZAR,ZAR,16.0617,019c473e-acdd-7536-bc00-7805b1ac616a,,
2026-02-10 11:10:49 Z,Limit Sell,USDT,13.0752,ZAR,209.631921948288,ZAR,0.378017891712,USDTZAR,ZAR,16.0617,019c473e-acdd-7536-bc00-7805b1ac616a,,
2026-02-10 11:09:19 Z,Limit Sell,USDT,29.9191,ZAR,479.644804230886,ZAR,0.864917499114,USDTZAR,ZAR,16.0603,019c473c-5bb6-7b67-bfc0-e4540d0c2198,,
2026-02-10 11:04:31 Z,Receive,,,USDT,999,,,,,,,TGvD1Wbf7FrHSwhaZWNuAZLd71Yum7FMQn,05f1095a9dd480271134ff9e851b0525eecd379d08beae558967cb68e117bc27
2026-02-01 11:35:34 Z,Transfer,USDT,59,,,,,,,,,,
2026-01-28 10:22:34 Z,Limit Buy,ZAR,20850.00064784,USDT,1300.84445764,USDT,2.34574236,USDTZAR,ZAR,15.9992,019c041d-4e44-7579-b81a-6661f58b36a9,,
2026-01-27 09:06:50 Z,Transfer,USDT,0.06957504,,,,,,,,,,
2026-01-27 05:44:33 Z,Limit Buy,ZAR,149.99919336,USDT,9.27667188,USDT,0.01672812,USDTZAR,ZAR,16.1404,019bfdef-7942-76b2-aee2-a884b5830c56,,
2026-01-26 23:54:10 Z,Deposit,,,ZAR,21000,,,,,,,,
